topic_id,size,top_words
0,92,"social, social security, security, administration, security administration, social security administration, phone, ssa, alert nomorobo, phone alert"
1,78,"refund, fake refund, refund refund, microsoft refund, department, fake, voicemail, called, account, support"
2,77,"ssa, ssa ssa, indian, fake, ms, ssa indian, ssa ssa ssa, indian fake, dea, fake ssa"
3,76,"microsoft popup, popup, appears working, appears, techsupport center, working indian, indian techsupport center, working indian techsupport, appears working indian, indian techsupport"
4,53,"fake microsoft, fake microsoft pop, microsoft pop, pop, fake, microsoft, pop fake, microsoft pop fake, pop fake microsoft, pop url"
5,51,"money, bank, power, company, scammed, apartment, guy, spoofed, yes, sent"
6,50,"techsupport, techsupport techsupport, tech, active, nginx, ha, india, techsupport techsupport techsupport, isoftwareshop, indian"
7,48,"bobrtc, bob, calls, add, non, phonebook, work, available, uk, connect"
8,44,"insurance, health, warranty, car, company, pills, health insurance, sell, keto, gohealth"
9,42,"microsoft, windows, microsoft support, support, computer, pc, microsoft techsupport, vm, tried, techsupport"
10,39,"popup, image, popup microsoft, microsoft popup microsoft, png, popup microsoft popup, microsoft, microsoft popup, screenshot, image screenshot"
11,33,"size, adaross, size adaross, adaross replying, finds, automatically automated finds, automated finds popups, automated finds, adaross site list, automatically automated"
12,32,"amazon, amazonprime, account, travel, amazon account, robocaller, robocaller warning nomorobo, robocaller warning, warning nomorobo, won"
13,31,"ssa, hunting ssa, happy hunting ssa, hunting, happy hunting, happy, active, active happy, active happy hunting, easy target"
